ticker,headline,summary,source,datetime,url
AAPL,"Bernie Sanders Says MacBook, iPad Price Rise An Example Of Tim Cook's 'Corporate Greed: Here's How Much You'll Pay Now","Apple Inc.’s decision to raise MacBook and iPad prices sparked criticism from Sen. Bernie Sanders (I-Vt.), while Wedbush analyst Dan Ives defended CEO Tim Cook’s decision as necessary to protect profit margins. Apple Raises Prices Amid AI-Driven Component Cost Surge...",Yahoo,1782653470,https://finnhub.io/api/news?id=2e5117200666d6454a2c44740d48370938950f2d0a8f0594c1c47b96e83de73f
AAPL,Even Apple supply chain maestro Tim Cook couldn’t dodge the memory chip ‘RAM-ageddon’ crisis. Here’s why PC prices are soaring this summer,"Apple, Microsoft, HP and other gadget makers are being forced to choose between sacrificing sales or profit.",Yahoo,1782637200,https://finnhub.io/api/news?id=2e1eacbc58d06e7737139ceb4b7e1dd91738550389303f9709a605b51bc9a1ae
AAPL,Berkshire May Just Save You From A Likely Market Crash,"Berkshire Hathaway is well-positioned to outperform the S&P 500 during near-term market turbulence, given its defensive portfolio. Read why BRK.A stock is a buy.",SeekingAlpha,1782629364,https://finnhub.io/api/news?id=065427260e90b565fa6294ecb480f07ae5def3489e5184b066dc992ea87ad7c9
AAPL,"Amkor Technology, Inc. (AMKR) Is A “Secret Weapon,” Says Newsletter","Amkor Technology, Inc. (NASDAQ:AMKR) is one of the Top 13 Stocks That Will Skyrocket. This stock is part of a pitch by Ian King and George Gilder. They start by touting it as a “50-year veteran in the chip industry that’s finally coming to America.” In fact, this firm is so important that it’s been […]",Yahoo,1782629347,https://finnhub.io/api/news?id=52839bf28bdfe28e96a09a694eedb92cd8286b046cf1fb9a1c9a1db8912fc9e4
AAPL,Markets Starting To Choke On Massive Surge In Debt Issuance,"Massive equity and AI-related debt issuanceâ$236B YTD, projected $570B for 2026âare straining credit markets. Read more on the market here.",SeekingAlpha,1782615208,https://finnhub.io/api/news?id=5f66f86ae8e56ee4863f054e9026a85a05d7a3f101bbc7b07bce262a1d04aa8c
AAPL,Apple (AAPL) Plans Mac Chip Roadmap Shift Toward AI-Focused M7,"Apple Inc. (NASDAQ:AAPL) is one of the 15 Best AI Stocks That Will Make You Rich in 10 Years. On June 26, 2026, Bloomberg’s Mark Gurman reported that Apple Inc. (NASDAQ:AAPL) is planning a major change to its Mac chip roadmap, citing people with knowledge of the matter. Apple is expected to launch a base […]",Yahoo,1782588737,https://finnhub.io/api/news?id=feb629ed2d86e17212e50f13bf05e71fc67d71e4f99857dc36c713e1c2353f1f
AAPL,The Big Paint vs Rare Earth Faceoff: One Stock to Buy Right Now for 2026 and Beyond,MP Materials fuels EV and defense supply chains; Sherwin-Williams boasts global scale and strong cash flow. Which business model stands out in today's market?,Yahoo,1782588674,https://finnhub.io/api/news?id=46ada1f3d1d4ebb750a1ee959651ca0f24c539e0e120c7f074b0b845818094e5
AAPL,KGI Securities Downgrades Apple (AAPL) to Hold – Here’s Why,"Apple Inc. (NASDAQ:AAPL) is one of the best trending AI stocks to watch in 2026. Apple Inc. (NASDAQ:AAPL) was downgraded by KGI Securities to Hold from Outperform on June 22, with the firm setting a price target of $315. In a separate development, Reuters reported on June 17 that CEO Tim Cook told the Wall […]",Yahoo,1782587292,https://finnhub.io/api/news?id=3606b9783d82d5cac165736e05ed18637aa8dd01caeba91c65423aff42630782
AAPL,"Apple Just Did Something It Wouldn’t Even Do During COVID, and Wall Street Is Freaking Out","Apple (NASDAQ:AAPL) rarely raises prices. That has been a working assumption on Wall Street for roughly two decades. The company absorbs component costs, squeezes suppliers, redesigns around the problem, and protects its margin envelope without making customers pay more for the same box. So when Apple confirmed Friday that it was raising prices an average of ... Apple Just Did Something It Wouldn’t Even Do During COVID, and Wall Street Is Freaking Out",Yahoo,1782576928,https://finnhub.io/api/news?id=a84317a2eb5b45fc6d8416e01573b227e72c04ea79a1e4a44bc8262f241f6184
AAPL,"Alphabet Stock Falls Below Berkshire’s Buying Price, but GOOG Is Not a Screaming Buy Yet","Alphabet shares have fallen below the price levels at which Berkshire Hathaway bought them in the private placement earlier this month. The stock is not a screaming buy yet, though.",Yahoo,1782576002,https://finnhub.io/api/news?id=5045ad0621f35703d89dda9727294534a84e6fddff32d484ee0064354690e9b1
